Municipio Origem;UF Origem;Municipio Terminal;UF Terminal
Porto Nacional;TO;Tabocao;TO
Porto Nacional;TO;Taguatinga;TO
Porto Nacional;TO;Taipas do Tocantins;TO
Porto Nacional;TO;Talisma;TO
Porto Nacional;TO;Tocantinia;TO
Porto Nacional;TO;Tocantinopolis;TO
Porto Nacional;TO;Tupirama;TO
Porto Nacional;TO;Tupiratins;TO
Porto Nacional;TO;Wanderlandia;TO
Porto Nacional;TO;Xambioa;TO
Gurupi;TO;Tabocao;TO
Gurupi;TO;Taguatinga;TO
Gurupi;TO;Taipas do Tocantins;TO
Gurupi;TO;Talisma;TO
Gurupi;TO;Tocantinia;TO
Gurupi;TO;Tocantinopolis;TO
Gurupi;TO;Tupirama;TO
Gurupi;TO;Tupiratins;TO
Gurupi;TO;Wanderlandia;TO
Gurupi;TO;Xambioa;TO
Paraiso do Tocantins;TO;Tabocao;TO
Paraiso do Tocantins;TO;Taguatinga;TO
Paraiso do Tocantins;TO;Taipas do Tocantins;TO
Paraiso do Tocantins;TO;Talisma;TO
Paraiso do Tocantins;TO;Tocantinia;TO
Paraiso do Tocantins;TO;Tocantinopolis;TO
Paraiso do Tocantins;TO;Tupirama;TO
Paraiso do Tocantins;TO;Tupiratins;TO
Paraiso do Tocantins;TO;Wanderlandia;TO
Paraiso do Tocantins;TO;Xambioa;TO
